Term,Group,Section,ID,score
spring_22,PFG,S22_1,P223,4
spring_22,PFG,S22_1,P224,14
spring_22,PFG,S22_1,P225,28
spring_22,PFG,S22_1,P226,20
spring_22,PFG,S22_1,P227,16
spring_22,PFG,S22_1,P228,30
spring_22,PFG,S22_1,P229,16
spring_22,PFG,S22_1,P230,18
spring_22,PFG,S22_1,P231,22
spring_22,PFG,S22_1,P232,30
spring_22,PFG,S22_1,P233,22
spring_22,PFG,S22_1,P234,30
spring_22,PFG,S22_1,P235,16
spring_22,PFG,S22_1,P236,30
spring_22,PFG,S22_1,P237,16
spring_22,PFG,S22_1,P238,22
spring_22,PFG,S22_1,P239,30
spring_22,PFG,S22_1,P240,26
spring_22,PFG,S22_1,P241,24
spring_22,PFG,S22_1,P242,20
spring_22,PFG,S22_1,P243,36
spring_22,PFG,S22_1,P244,18
spring_22,PFG,S22_1,P245,18
spring_22,PFG,S22_1,P246,26
spring_22,PFG,S22_1,P247,34
spring_22,PFG,S22_10,P430,34
spring_22,PFG,S22_10,P431,26
spring_22,PFG,S22_10,P433,34
spring_22,PFG,S22_10,P434,22
spring_22,PFG,S22_10,P435,16
spring_22,PFG,S22_10,P436,16
spring_22,PFG,S22_10,P437,10
spring_22,PFG,S22_10,P438,12
spring_22,PFG,S22_10,P439,16
spring_22,PFG,S22_2,P248,26
spring_22,PFG,S22_2,P249,32.5
spring_22,PFG,S22_2,P250,34.5
spring_22,PFG,S22_2,P251,33.5
spring_22,PFG,S22_2,P252,38
spring_22,PFG,S22_2,P253,30.5
spring_22,PFG,S22_2,P254,30
spring_22,PFG,S22_2,P255,7
spring_22,PFG,S22_2,P256,35
spring_22,PFG,S22_2,P257,22
spring_22,PFG,S22_2,P258,24.5
spring_22,PFG,S22_2,P259,19.5
spring_22,PFG,S22_2,P260,22
spring_22,PFG,S22_2,P261,31
spring_22,PFG,S22_2,P262,32
spring_22,PFG,S22_2,P263,30
spring_22,PFG,S22_2,P264,20.5
spring_22,PFG,S22_2,P265,33
spring_22,PFG,S22_2,P266,21.5
spring_22,PFG,S22_2,P267,33
spring_22,PFG,S22_2,P268,25
spring_22,PFG,S22_2,P269,27.5
spring_22,PFG,S22_2,P270,34.5
spring_22,PFG,S22_2,P271,23.5
spring_22,PFG,S22_3,P272,35.8
spring_22,PFG,S22_3,P273,10
spring_22,PFG,S22_3,P274,21.5
spring_22,PFG,S22_3,P275,35.75
spring_22,PFG,S22_3,P276,38
spring_22,PFG,S22_3,P277,32
spring_22,PFG,S22_3,P278,33.5
spring_22,PFG,S22_3,P279,33.5
spring_22,PFG,S22_3,P280,32.9
spring_22,PFG,S22_3,P281,18
spring_22,PFG,S22_3,P282,37.9
spring_22,PFG,S22_3,P283,33.8
spring_22,PFG,S22_3,P284,36
spring_22,PFG,S22_3,P285,37.9
spring_22,PFG,S22_3,P286,32.9
spring_22,PFG,S22_3,P287,33.9
spring_22,PFG,S22_3,P288,31
spring_22,PFG,S22_3,P289,16.5
spring_22,PFG,S22_3,P290,29.75
spring_22,PFG,S22_3,P291,27.8
spring_22,PFG,S22_3,P292,27.3
spring_22,PFG,S22_3,P293,35.75
spring_22,PFG,S22_3,P294,32.9
spring_22,PFG,S22_3,P295,35.75
spring_22,PFG,S22_3,P296,37.5
spring_22,PFG,S22_3,P297,31
