Term,Group,Course,Age,Gender,Written_narrative_unfiltered
S22,PFG,SPA 2,19,Female,It was about a girl who was having a quincenera and she wanted it to be perfect. She ran into obstacles when the people that were in her dances got hurt. 
S22,PFG,SPA 2,21,Female,La quinceañera es un libro sobre Gabriel como es el chambelán de honor para su mejor amiga. Gabriel y Luisa quieren bailar pero Luisa está muy preocupada y Gabriel se torció el tobillo. Luisa es una perfeccionista y quiere que a todos son perfectas también. Gabriel no baila bien porque no practica mucho pero su padre le ayuda mucho.
S22,PFG,SPA 2,19,Male,El libro fue sobre de las dificultades de una quinceañera. Hay muchas problemas con la fiesta. 
S22,PFG,SPA 2,18,Female,"The book was about a group of friends preparing for one of the friend's quinceañera. There are many things that happen such as a bike crash and viral videos, but the story mainly focuses on preparing for the dance that they will do at the quince. One of the characters is very stressed about not messing up the dance, and they do their best, but they still step on the girl's foot. There is also a flash mob that takes place at the quince. "
S22,PFG,SPA 2,19,Female,Gabriel quiere bailar con su hermana para su quiñcenera. No es bravo pero se ama Lola. Gabriel tiene una novia Irene quien es muy simpatica. Gabriel tiene un robillo malo porque una bicecleta corre a su. Gabriel se cuida y puede bailar con Lola. él no hace bíen y está vergüenzo. 
S22,PFG,SPA 2,19,Female,"En la novella la qunicenera el principal persona es Gabriel, Gabriel es un estudiante a UC Davis. La hermana de Gabriel es Lola. La novella es about la preperacion de la quincenera de Lola. Una quincenera es un fiesta para la celebracion hispanica de un chica tiene 15 anos. La problema con la celebracion es que Gabriel es muy estresado de esta una persona de honor en la quincenera de su hermana y neccesita baila en la celebracion. Gabriel tiene que muchas responsibilidades y el no puede todos. Gabriel tocar su tobillo y su hermana esta enojada porque el no puede bailar en su quincenera, pero todo es bueno porque la tobillo de Gabriel cura y es possible para su bailia con su hermana."
S22,PFG,SPA 2,20,Female,"En este libro, Gabriel es un hombre que vive en Davis. La hermana de Gabriel se llama Lola, y una chica tiene un quinceañera. Lola pide a Gabriel ser un chambelán de honor. Sin embargo, Gabriel no puede bailar bien y pregunta a Irene y Jake para ayudar. Irene es una novia de Gabriel y Jake es un compañero de cuarto de Irene. Gabriel trata de aprender a bailar para la quinceañera de Lola. Cuando Gabriel practica el baile, Jake graba un video. Muchas personas ven un video de Jake en TikTok. Entonces, Gabriel tiene un accidente con otro ciclista y va a el hospital con Irene y Jake. Al mismo tiempo, Gabriel necesito trabaja con un profesora porque falló un examen. 

En otro capitulo, la mama de Gabriel hace un jugo de cebolla. Gabriel no le gusta el jugo. Entonces, la quinceañera de Lola fue muy bien. Gabriel baile con Lola y hay un flash mob. "
S22,PFG,SPA 2,20,Female,"La quinceañera es un libra acerca de un chico que se llama Gabriel, el se lastima su tobillo y no puedo bailar en la quinceañera de su amiga que se llama Lola.  El libro habla de su experiencia al lastimarse a sí mismo, reprobar su clase y cómo mejora.  Al final del libro, el vestido de Lola se cambia por el de otra persona, pero Gabriel salva el día y la ayuda a recuperar su vestido."
S22,PFG,SPA 2,20,Female,"Este libro es sobre de una Muchacha que se llama Lola y la quinceañera. Ella quiere ser una quinceañera perfecta y ella es un perfeccionista. Ella tiene un chambelán de honor que es Gabriel y una dama de honor que es Irene. Este libro le dan una cuenta sobre de los problemas que Lola tenía con sus planes, bailes, y vestido, para su quinceañera. Este libro habla sobre la cuenta de Gabriel y su tobillo roto que se cura más tarde. También sobre de Irene buscan al vestido de Lola. Finalmente, la quinceañera salió bien, y el papa de Gabriel estaba orgulloso de su hijo. "
S22,PFG,SPA 2,18,Female,"La quinceañera es sobre que Gabriel comó es el chambelan de honor y él necesito aprender a bailar. Se volvió muy ocupado y terminó torcí el tobillo en un accidente de bicicleta. Pero, hizo fisioterapia y él podía bailar nuevo en la quinceañera de su hermana, Lola. "
S22,PFG,SPA 2,19,Non-binary / third gender,"Lola tuvo una quinceañera. Al principio, algunos de los personajes se volvieron virales en tiktok. El hermano de Lola, Gabriel, tuvo una herida después el accidente de su bicicleta. El tenia miedo de no poder bailar en la quinea˜era de Lola. Es una problema por que Gabriel es un chambelan de la quinceañera. Gabriel sanó y pudo bailar en Lola's quineañera. Lola fue preocupado porque ella es una perfectionista. Lola quiere que su fiesta sea perfecta pero, Irene, la novia de Gabriel, accidentalmente se equivocó de vestido."
S22,PFG,SPA 2,24,Female,Se acerca el cumpleaños de Lola. su familia y su hermano Gabriel quieren celebrar una quinceañera. Gabriel practicaba baile para su hermana Lola. pero Gabriel reprobó sus exámenes y tuvo que trabajar en un laboratorio. después de que Gabriel tuvo un accidente y se rompió el tobillo. Él no puede bailar. se recuperó y puede volver a bailar. Gabriel y su familia ayudaron a Lola a tener una gran quinceañera.
S22,PFG,SPA 2,19,Female,"Lola, una niña de 15 años, tiene un hermano mayor llamado Gabriel, que es su chambelane de honor. Gabriel se pone en un accidente con su bicicleta y se cae. Se rompió el tobillo y ya no puede bailar. Gabriel podía bailar así que recibió ayuda de sus amigos. Uno de sus amigos lo graba baile y subido a Tik tok. El vídeo se volvió viral. Gabriel comenzó a aprender más a bailar, pero sus calificaciones comenzaron a bajar. Así que su maestra le pidió ayuda en el laboratorio para obtener su calificación. Una parte de la historia los vestidos se mezclaron así que Irene fue a buscar el vestido de Lola. Alguna otra persona tenía su vestido azul mientras que ella tenía su vestido blanco. Gabriel también olvidó el cumpleaños de su novia, Irene, porque estaba muy ocupado con la escuela, su tobillo y el baile."
S22,PFG,SPA 2,20,Female,"La hermana de Gabriel, Lola, tiene una quinceañera. Lola tiene una quinceañera porque es su decimoquinto cumpleaños. En la cultura española, las quinceañeras celebraban que una niña se convertía en mujer. Lola le pidió a su hermano, Gabriel, que fuera su chambelán de honor, lo que significa que tienen que bailar juntos. Esto puso a Gabriel muy nervioso pero feliz.Para la quinceañera de Lola, Gabriel tomó clases de baile para poder hacer el baile correctamente. Mientras Gabriel practicaba para el baile con Lola, se tomó un video y se publicó en línea. Gabriel se hizo un poco famoso con Irene, su novia, del baile. Gabriel luego tuvo un accidente de bicicleta y tuvo que ir al hospital porque se rompió el brazo. La historia se adentra más en la vida de Gabriel y las personas en él. Al final de la historia, gabriel baila con lola en su quinceañera y no baila correctamente. Lola todavía lo pasó muy bien."
S22,PFG,SPA 2,19,Male,la historia de la quinceañera es sobre la quinceañera de una niña. Las cosas van bien hasta que Gabriel se lastima. esto es malo porque él es importante para el baile. gabriel se lastima al caerse de su bicicleta cuando golpea a alguien. gabriel necesita ir al doctor quien le dice que no se mueva. la historia luego sigue a las personas que ayudan a arreglar la fiesta.
S22,PFG,SPA 2,22,Female,"Lola cumple quince años y tiene una quincenera. Lola y sus amigas hicieron bailes de Tik Tok y esperaban hacerse famosas y viralizarse. Lola y Gabriel tienen un amigo llamado Jake. Jake es un muy buen bailarín. Jake ayuda a Lola y Gabriel enseñándoles a bailar.Su hermano Gabriel está destinado a escolta Lola. Desafortunadamente, Gabriel sufre un accidente de bicicleta en el campus y se lastima la pierna. Después de su accidente de bicicleta, Gabriel pasa mucho tiempo compadeciéndose de sí mismo y se sienta en el sofá y se queja. Ve mucho bailar con las estrellas y está enojado porque no puede bailar en la quinceañera. Ya no puede bailar con Lola ni acompañarla, lo que lo enoja. También pone nerviosa a Lola porque es una perfeccionista. Por ejemplo, el vestido de Lola se pierde y ella se pone muy nerviosa. Por suerte irene encuentra su vestido. Durante este tiempo, Gabriel está saliendo con Irene. Gabriel está tan molesto y distraído que olvida el cumpleaños de Irene. Irene está molesta al principio, pero luego lo perdona. Irene y Gabriel se abrazan y se reconcilian. Por suerte, Gabriel se recupera y puede venir a la Quincenera. Todos se lo pasan genial. Lola parece una princesa y está muy feliz. Gabriel pisa los zapatos de Lola y los ensucia. Gabriel está muy nervioso en la quinceañera pero su padre lo consuela diciéndole que hizo un gran trabajo. El papá de Gabriel y Lola los felicita a ambos. Su amigo Jake coreografía un baile sorpresa para el gran día de Lola."
S22,PFG,SPA 2,23,Male,"Gabriel quiere bailar a la quinceanera de su hermana, pero el se rompe la pierna en un accidente de bicicleta. Gabriel molesta a su novia pero finalmente su pierna se cura y baila."
S22,PFG,SPA 2,19,Male,la quinceañera es un libro sobre una chica y una quinceañera. La chicas nombre es Lola. Lola es la hermana de Gabriel. Gabriel tiene un novia llamado irene. A través del libro muchas cosas salen mal por ejemplo la quinceañera vestido fue cambiado con un vestido de boda.
S22,PFG,SPA 2,19,Female,"En este libro, Gabriels hermana lola, tiene un quinceanera. Lola quiere Gabriel es un chambelan. Pero, Gabriel se lastima su pie. "
S22,PFG,SPA 2,23,Male,"Gabe was asked to be the chambelan de honor for his sister's quinceanera. In order to fulfill that obligation he needed to learn to dance. The main plot is that, but there's tons of filler in between such as tiktok videos, gabe getting in a bicycle crash, lola getting the wrong dress, etc."
S22,PFG,SPA 2,21,Female,"En la quinceañera, Lola quiere Gabriel ser la chambelan de honor por su quinceañera. Gabriel esta muy nervioso y toma clases de baile. Una día, Gabriel choca con una ella cuando está montando su bicicleta en una glorieta. Él rompa su tobillo y no puede bailar. En el fin, Gabriel puede baile, pero es muy mal. "
S22,PFG,SPA 2,21,Female,"the book is about a boy who is asked to be a chambelan by his younger sister for her quince. While, he's glad to be asked he's also nervous as he is bad at dancing. He then start to practice with friends but falls behind in class and has to help the teacher. One day he gets into a bike accident and  hurts his ankle causing him to need rest. Lola then asks her other brother to be the chambelan. Eventually the day of the party everything goes well and they have fun. "
S22,PFG,SPA 2,19,Female,"The book was about a boy named Gabriel who had to be the chambelan for his sisters quinceanera. He was very scared about it beause he did not know how to dance. His girlfriend Irene said that she would be able to help him learn and they learned together. Gabriel started going to dance lessons in order to prepare, but eventually he ended up forgetting about school work and started failing one of his classes. His professor gave him another chance, so Gabriel became even more busy and had to start working for his teacher. One day Gabriel was riding his bike and he go into an accident with a girl and he hurt himself. He twisted his ankle and was unable to dance. He recovers and ends up going to his sisters quince. He messes up a few times, but at the end of the day they are happy about the party ."
