ID,level,group,other,present,preterit,imperfect,Participant,age,gender,review_quiz,only present?,word length,Total verbs,Past
Text_101,SPA 2,control,3,22,1,0,P2,20,Female,98,0,158,26,P
Text_105,SPA 2,control,1,21,1,0,P6,20,Non-binary / third gender,66,0,135,23,P
Text_106,SPA 2,control,3,17,1,0,P7,25,Male,83,0,114,21,P
Text_109,SPA 2,control,7,2,4,0,P10,26,Female,89,0,77,13,P
Text_110,SPA 2,control,7,5,12,0,P11,19,Male,82,0,134,24,P
Text_111,SPA 2,control,5,2,9,3,P12,21,Female,88,0,82,19,P
Text_113,SPA 2,control,4,12,2,0,P14,19,Female,92,0,95,18,P
Text_116,SPA 2,control,4,25,4,0,P17,21,Female,74,0,185,33,P
Text_117,SPA 2,control,2,4,1,0,P18,19,Male,90,0,66,7,P
Text_122,SPA 2,control,1,0,4,3,P23,19,Female,90,0,66,8,P
Text_123,SPA 2,control,0,0,10,1,P24,20,Female,80,0,82,11,P
Text_125,SPA 2,control,5,14,1,0,P25,20,Female,93,0,109,20,P
Text_100,SPA 2,control,4,17,0,0,P1,19,Female,75,1,124,21,NP
Text_102,SPA 2,control,3,18,0,0,P3,19,Male,89,1,111,21,NP
Text_103,SPA 2,control,5,17,0,0,P4,18,Male,92,1,92,22,NP
Text_104,SPA 2,control,6,12,0,0,P5,21,Male,96,1,106,18,NP
Text_107,SPA 2,control,5,20,0,0,P8,18,Female,93,1,117,25,NP
Text_108,SPA 2,control,6,18,0,0,P9,19,Female,74,1,123,24,NP
Text_112,SPA 2,control,7,20,0,0,P13,19,Female,90,1,144,27,NP
Text_114,SPA 2,control,10,18,0,0,P15,22,Male,82,0,134,28,NP
Text_115,SPA 2,control,7,17,0,0,P16,20,Female,93,1,128,24,NP
Text_118,SPA 2,control,0,10,0,0,P19,21,Female,76,0,59,10,NP
Text_119,SPA 2,control,2,10,0,0,P20,20,Female,92,1,56,12,NP
Text_120,SPA 2,control,3,11,0,0,P21,18,Female,89,1,59,14,NP
Text_121,SPA 2,control,2,10,0,0,P22,21,Female,95,1,59,12,NP
Text_130,SPA 2,intervention,2,15,0,2,P30,18,Female,91,0,128,19,P
Text_137,SPA 2,intervention,3,8,0,7,P37,18,Prefer not to say,84,0,111,18,P
Text_140,SPA 2,intervention,5,16,0,1,P40,25,Female,94,0,150,22,P
Text_143,SPA 2,intervention,9,19,0,2,P43,20,Female,95,0,158,30,P
Text_145,SPA 2,intervention,6,11,8,10,P45,19,Female,90,0,153,35,P
Text_146,SPA 2,intervention,2,25,1,0,P46,20,Male,91,0,162,28,P
Text_150,SPA 2,intervention,9,2,9,10,P50,20,Male,78,0,151,30,P
Text_151,SPA 2,intervention,4,9,5,9,P51,22,Female,84,0,152,27,P
Text_152,SPA 2,intervention,3,3,6,7,P52,19,Male,81,0,157,19,P
Text_126,SPA 2,intervention,2,21,0,0,P26,18,Female,87,1,138,23,NP
Text_127,SPA 2,intervention,3,21,0,0,P27,20,Female,93,1,109,24,NP
Text_128,SPA 2,intervention,2,16,0,0,P28,19,Female,93,1,129,18,NP
Text_129,SPA 2,intervention,5,20,0,0,P29,19,Female,82,0,156,25,NP
Text_131,SPA 2,intervention,3,18,0,0,P31,19,Female,67,1,108,21,NP
Text_132,SPA 2,intervention,6,15,0,0,P32,20,Female,90,1,105,21,NP
Text_133,SPA 2,intervention,5,20,0,0,P33,21,Male,76,1,116,25,NP
Text_134,SPA 2,intervention,2,18,0,0,P34,21,Male,90,1,160,20,NP
Text_135,SPA 2,intervention,3,14,0,0,P35,20,Female,82,1,98,17,NP
Text_136,SPA 2,intervention,4,12,0,0,P36,19,Female,90,1,91,16,NP
Text_138,SPA 2,intervention,4,15,0,0,P38,20,Female,96,1,113,19,NP
Text_139,SPA 2,intervention,6,9,0,0,P39,19,Female,92,1,97,15,NP
Text_141,SPA 2,intervention,7,16,0,0,P41,18,Male,91,1,127,23,NP
Text_142,SPA 2,intervention,9,13,0,0,P42,22,Non-binary / third gender,95,1,105,22,NP
Text_144,SPA 2,intervention,9,35,0,0,P44,18,Prefer not to say,57,1,165,44,NP
Text_147,SPA 2,intervention,4,21,0,0,P47,20,Female,91,1,165,25,NP
Text_148,SPA 2,intervention,4,24,0,0,P48,21,Female,95,1,164,28,NP
Text_149,SPA 2,intervention,5,25,0,0,P49,18,Male,74,1,158,30,NP
Text_153,SPA 2,intervention,10,22,0,0,P53,19,Non-binary / third gender,95,1,150,32,NP
Text_54,SPA 2,intervention,6,27,0,0,P54,20,Male,48,1,153,33,NP
Text_154,SPA 3,control,5,0,16,10,P55,24,Female,89,0,193,31,P
Text_156,SPA 3,control,1,30,3,0,P57,19,Male,95,0,253,34,P
Text_157,SPA 3,control,1,0,9,2,P58,20,Female,73,0,89,12,P
Text_158,SPA 3,control,6,3,15,4,P59,19,Female,90,0,156,28,P
Text_159,SPA 3,control,5,1,23,3,P60,19,Female,89,0,178,32,P
Text_162,SPA 3,control,4,2,8,4,P63,19,Female,73,0,127,18,P
Text_163,SPA 3,control,1,17,1,0,P64,21,Female,95,0,166,19,P
Text_164,SPA 3,control,1,3,8,1,P65,21,Male,78,0,91,13,P
Text_166,SPA 3,control,3,5,3,3,P67,20,Male,89,0,88,14,P
Text_167,SPA 3,control,5,19,3,2,P68,21,Male,93,0,181,29,P
Text_168,SPA 3,control,4,0,10,3,P69,21,Female,63,0,120,17,P
Text_169,SPA 3,control,9,1,11,5,P70,22,Non-binary / third gender,79,NA,136,26,P
